product_id,product_name,category_path
1119,Civilization 5 Bogowie i Królowie (PC),Gry i konsole;Gry komputerowe
1120,Civilization 4 Warlords (PC),Gry i konsole;Gry komputerowe
1121,Battlefield 3 Powrót do Karkand (PC),Gry i konsole;Gry komputerowe
1122,Dead Rising 2 (PC),Gry i konsole;Gry komputerowe
1123,Deep Black Reloaded (PC),Gry i konsole;Gry komputerowe
1124,Devil May Cry 4 (PC),Gry i konsole;Gry komputerowe
1125,Diablo 3 (PC),Gry i konsole;Gry komputerowe
1126,The Sims 3 Pokolenia (PC),Gry i konsole;Gry komputerowe
1127,Dark Void (PC),Gry i konsole;Gry komputerowe
1128,Anarchy Reigns (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1129,Battlefield Bad Company 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1130,Tom Clancy&#39;s Ghost Recon 4 Future Soldier (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1131,The Elder Scrolls 5 Skyrim (PC),Gry i konsole;Gry komputerowe
1132,A New Beginning (PC),Gry i konsole;Gry komputerowe
1133,Symulator Agrar 2012 (PC),Gry i konsole;Gry komputerowe
1134,Air Conflicts Secret Wars (PC),Gry i konsole;Gry komputerowe
1135,Bioshock Infinite (PC),Gry i konsole;Gry komputerowe
1136,Just Cause (PC),Gry i konsole;Gry komputerowe
1137,Death Track Resurrection (PC),Gry i konsole;Gry komputerowe
1138,Dead Rising 2 Off the Record (PC),Gry i konsole;Gry komputerowe
1139,F1 2012 (PC),Gry i konsole;Gry komputerowe
1140,Euro Truck Simulator 2 (PC),Gry i konsole;Gry komputerowe
1141,Król Futbolu Piłkarski Quiz (PC),Gry i konsole;Gry komputerowe
1142,Toy Story Mania (PC),Gry i konsole;Gry komputerowe
1143,GTR Evolution (PC),Gry i konsole;Gry komputerowe
1144,Street Fighter 4 (PC),Gry i konsole;Gry komputerowe
1145,Sniper Elite V2 (PC),Gry i konsole;Gry komputerowe
1146,Tropico 3 (PC),Gry i konsole;Gry komputerowe
1147,Kurczak Mały (PC),Gry i konsole;Gry komputerowe
1148,Iniemamocni (PC),Gry i konsole;Gry komputerowe
1149,Medal of Honor Warfighter (PC),Gry i konsole;Gry komputerowe
1150,LEGO Piraci z Karaibów (PC),Gry i konsole;Gry komputerowe
1151,Mafia 2 (PC),Gry i konsole;Gry komputerowe
1152,Mortal Kombat Komplete (PC),Gry i konsole;Gry komputerowe
1153,Symulator Policji (PC),Gry i konsole;Gry komputerowe
1154,Civilization 4 (PC),Gry i konsole;Gry komputerowe
1155,The Sims 3 Kariera (PC),Gry i konsole;Gry komputerowe
1156,Rig&#39;n&#39;Roll Tirowiec (PC),Gry i konsole;Gry komputerowe
1157,The Elder Scrolls 4 Oblivion (PC),Gry i konsole;Gry komputerowe
1158,Lego Star Wars The Complete Saga (PC),Gry i konsole;Gry komputerowe
1159,The Darkness 2 (PC),Gry i konsole;Gry komputerowe
1160,Street Racing Syndicate (PC),Gry i konsole;Gry komputerowe
1161,XCOM Enemy Unknown (PC),Gry i konsole;Gry komputerowe
1162,Total War Shogun (PC),Gry i konsole;Gry komputerowe
1163,Trucks &amp; Trailers (PC),Gry i konsole;Gry komputerowe
1164,Aliens Colonial Marines (PC),Gry i konsole;Gry komputerowe
1165,Gdzie jest Nemo (PC),Gry i konsole;Gry komputerowe
1166,Empire Total War (PC),Gry i konsole;Gry komputerowe
1167,Aliens vs Predator (PC),Gry i konsole;Gry komputerowe
1168,Angry Birds Space (PC),Gry i konsole;Gry komputerowe
1169,Bus Driver (PC),Gry i konsole;Gry komputerowe
1170,Symulator Kamieniołomu (PC),Gry i konsole;Gry komputerowe
1171,Race Driver Grid (PC),Gry i konsole;Gry komputerowe
1172,Silent Hunter 5 Bitwa o Atlantyk (PC),Gry i konsole;Gry komputerowe
1173,The Sims 3 Wymarzone Podróże (PC),Gry i konsole;Gry komputerowe
1174,Euro Truck Simulator (PC),Gry i konsole;Gry komputerowe
1175,Europa Universalis 3 (PC),Gry i konsole;Gry komputerowe
1176,The Sims 3 Nowoczesny Apartament (PC),Gry i konsole;Gry komputerowe
1177,Twierdza 3 (PC),Gry i konsole;Gry komputerowe
1178,King&#39;s Bounty Nowe Światy (PC),Gry i konsole;Gry komputerowe
1179,Symulator Kopalni (PC),Gry i konsole;Gry komputerowe
1180,Split/Second (PC),Gry i konsole;Gry komputerowe
1181,Still Life (PC),Gry i konsole;Gry komputerowe
1182,Battlefield 3 (PC),Gry i konsole;Gry komputerowe
1183,GTA San Andreas (PC),Gry i konsole;Gry komputerowe
1184,Men of War Oddział Szturmowy (PC),Gry i konsole;Gry komputerowe
1185,Homefront (PC),Gry i konsole;Gry komputerowe
1186,Symulator Budowy Mostów (PC),Gry i konsole;Gry komputerowe
1187,Symulator Czołgu (PC),Gry i konsole;Gry komputerowe
1188,Star Wars Battlefront 2 (PC),Gry i konsole;Gry komputerowe
1189,Star Wars Jedi Knight 2 Jedi Outcast (PC),Gry i konsole;Gry komputerowe
1190,Star Wars The Force Unleashed 2 (PC),Gry i konsole;Gry komputerowe
1191,Red Faction Guerrilla (PC),Gry i konsole;Gry komputerowe
1192,GTA Trylogia (PC),Gry i konsole;Gry komputerowe
1193,Heroes Over Europe (PC),Gry i konsole;Gry komputerowe
1194,Operation Flashpoint Dragon Rising (PC),Gry i konsole;Gry komputerowe
1195,Titan Quest (PC),Gry i konsole;Gry komputerowe
1196,Worms Reloaded (PC),Gry i konsole;Gry komputerowe
1197,Hearts of Iron 3 (PC),Gry i konsole;Gry komputerowe
1198,Tropico 4 (PC),Gry i konsole;Gry komputerowe
1199,GTA 5 (PC),Gry i konsole;Gry komputerowe
1200,Star Wars Knights of the Old Republic (PC),Gry i konsole;Gry komputerowe
1201,Jabra Speak 410,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące
1202,Final Fantasy 14 (PC),Gry i konsole;Gry komputerowe
1203,LEGO Batman 2 DC Super Heroes (PC),Gry i konsole;Gry komputerowe
1204,Prosiaczek i Przyjaciele (PC),Gry i konsole;Gry komputerowe
1205,Return to Mysterious Island (PC),Gry i konsole;Gry komputerowe
1206,Hearts of Iron 2 (PC),Gry i konsole;Gry komputerowe
1207,LEGO Batman (PC),Gry i konsole;Gry komputerowe
1208,Mapeciątka podróżują (PC),Gry i konsole;Gry komputerowe
1209,Mapeciątka zdobywają wiedzę (PC),Gry i konsole;Gry komputerowe
1210,Mass Effect 2 (PC),Gry i konsole;Gry komputerowe
1211,Need for Speed Shift 2 Unleashed (PC),Gry i konsole;Gry komputerowe
1212,Arma 3 (PC),Gry i konsole;Gry komputerowe
1213,Symulator Zamiatarki ulic (PC),Gry i konsole;Gry komputerowe
1214,Call of Cthulhu Mroczne zakamarki Świata (PC),Gry i konsole;Gry komputerowe
1215,Patrician 4 (PC),Gry i konsole;Gry komputerowe
1216,Damnation (PC),Gry i konsole;Gry komputerowe
1217,Hitman Krwawa Forsa (PC),Gry i konsole;Gry komputerowe
1218,LEGO Władca Pierścieni (PC),Gry i konsole;Gry komputerowe
1219,Overlord 2 (PC),Gry i konsole;Gry komputerowe
1220,SimCity (PC),Gry i konsole;Gry komputerowe
1221,The Sims 3 Cztery Pory Roku (PC),Gry i konsole;Gry komputerowe
1222,Parrot Minikit NEO,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące
1223,Call of Duty Black Ops 2 (PC),Gry i konsole;Gry komputerowe
1224,Call of Juarez Więzy Krwi (PC),Gry i konsole;Gry komputerowe
1225,Tygrysek i Uczta Kubusia (PC),Gry i konsole;Gry komputerowe
1226,Supreme Commander (PC),Gry i konsole;Gry komputerowe
1227,Karaoke Hity Disco Polo (PC),Gry i konsole;Gry komputerowe
1228,Lego Harry Potter Lata 1-4 (PC),Gry i konsole;Gry komputerowe
1229,Symulator Prac Leśnych (PC),Gry i konsole;Gry komputerowe
1230,Symulator Robót Drogowych (PC),Gry i konsole;Gry komputerowe
1231,Symulator Transportu Kolejowego (PC),Gry i konsole;Gry komputerowe
1232,Symulator Prac Górniczych (PC),Gry i konsole;Gry komputerowe
1233,Manta DVD064,Sprzęt RTV;Video;Odtwarzacze DVD
1234,Sony DVP-SR760,Sprzęt RTV;Video;Odtwarzacze DVD
1235,Baldur&#39;s Gate (PC),Gry i konsole;Gry komputerowe
1236,Avencast Rise of the Mage (PC),Gry i konsole;Gry komputerowe
1237,Race Injection (PC),Gry i konsole;Gry komputerowe
1238,Lego Harry Potter Lata 5-7 (PC),Gry i konsole;Gry komputerowe
1239,Civilization 3 (PC),Gry i konsole;Gry komputerowe
1240,PREY (PC),Gry i konsole;Gry komputerowe
1241,Scania Truck Driving Simulator (PC),Gry i konsole;Gry komputerowe
1242,Karaoke Dziecięce Przeboje (PC),Gry i konsole;Gry komputerowe
1243,KULT HERETIC KINGDOMS (PC),Gry i konsole;Gry komputerowe
1244,Hard Reset (PC),Gry i konsole;Gry komputerowe
1245,Warhammer 40.000 Dawn of War 2 (PC),Gry i konsole;Gry komputerowe
1246,Quake 4 (PC),Gry i konsole;Gry komputerowe
1247,Star Wars The Force Unleashed (PC),Gry i konsole;Gry komputerowe
1248,GTA Vice City (PC),Gry i konsole;Gry komputerowe
1249,King&#39;s Bounty Wojownicza Księżniczka (PC),Gry i konsole;Gry komputerowe
1250,Port Royale 3 (PC),Gry i konsole;Gry komputerowe
1251,Kane &amp; Lynch 2 (PC),Gry i konsole;Gry komputerowe
1252,Two Worlds 2 (PC),Gry i konsole;Gry komputerowe
1253,The Club (PC),Gry i konsole;Gry komputerowe
1254,Warhammer 40.000 Dawn of War Winter Assault (PC),Gry i konsole;Gry komputerowe
1255,Auta (PC),Gry i konsole;Gry komputerowe
1256,Call of Juarez (PC),Gry i konsole;Gry komputerowe
1257,Mad Riders (PC),Gry i konsole;Gry komputerowe
1258,Rage (PC),Gry i konsole;Gry komputerowe
1259,Rocksmith (PC),Gry i konsole;Gry komputerowe
1260,Sleeping Dogs (PC),Gry i konsole;Gry komputerowe
1261,Symulator Maszyn Budowlanych (PC),Gry i konsole;Gry komputerowe
1262,Darksiders 2 (PC),Gry i konsole;Gry komputerowe
1263,Medieval 2 Total War (PC),Gry i konsole;Gry komputerowe
1264,GunMetal (PC),Gry i konsole;Gry komputerowe
1265,King&#39;s Bounty Legenda (PC),Gry i konsole;Gry komputerowe
1266,LA Noire (PC),Gry i konsole;Gry komputerowe
1267,Star Wars Knights of the Old Republic 2 (PC),Gry i konsole;Gry komputerowe
1268,S.T.A.L.K.E.R. Cień Czarnobyla (PC),Gry i konsole;Gry komputerowe
1269,Space Hack (PC),Gry i konsole;Gry komputerowe
1270,Warhammer 40.000 Space Marine (PC),Gry i konsole;Gry komputerowe
1271,Watch Dogs (PC),Gry i konsole;Gry komputerowe
1272,The Ball (PC),Gry i konsole;Gry komputerowe
1273,The Lost Crown (PC),Gry i konsole;Gry komputerowe
1274,The Sims 3 Zwierzaki (PC),Gry i konsole;Gry komputerowe
1275,Rome Total War (PC),Gry i konsole;Gry komputerowe
1276,Apple iPad mini 64GB,Komputery;Tablety i akcesoria;Tablety
1277,Apple iPad mini 64GB 4G,Komputery;Tablety i akcesoria;Tablety
